FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
904411|Canada de Oso|Stream|NM|35|Rio Arriba|039|363352N|1060929W|36.5644613|-106.1580781|363630N|1060805W|36.6083333|-106.1347222|2377|7798|Canon Plaza|11/13/1980|
904412|Canada de Oso|Stream|NM|35|Rio Arriba|039|365647N|1061019W|36.9464021|-106.1719695|365406N|1061207W|36.9016667|-106.2019444|2579|8461|Bighorn Peak|11/13/1980|
904413|Canada del Oso|Stream|NM|35|Rio Arriba|039|360957N|1054858W|36.1658573|-105.8161286|360525N|1054759W|36.0903027|-105.7997398|1987|6519|Trampas|11/13/1980|07/14/2011
904414|Canada del Pino|Stream|NM|35|Rio Arriba|039|360112N|1055243W|36.0200247|-105.8786308|360238N|1055136W|36.0439136|-105.8600191|2054|6739|Chimayo|11/13/1980|07/14/2011
904415|Canada del Potrero|Stream|NM|35|Rio Arriba|039|361907N|1063609W|36.3186275|-106.6025359|361404N|1063806W|36.2344607|-106.6350368|1921|6302|Echo Amphitheater|11/13/1980|08/12/2011
904416|Canada del Potrero|Stream|NM|35|Rio Arriba|039|362400N|1061156W|36.4000179|-106.1989132|363009N|1061438W|36.5025165|-106.2439139|2261|7418|Valle Grande Peak|11/13/1980|08/12/2011
904417|Canada de Pueblo|Stream|NM|35|San Miguel|047|351148N|1053224W|35.1967149|-105.5400123|350747N|1053952W|35.1297719|-105.6644588|1905|6250|Leyba|11/13/1980|
904418|Canada de Puertecito|Stream|NM|35|Rio Arriba|039|362742N|1060805W|36.4616846|-106.1347445|362657N|1060731W|36.4491667|-106.1252778|2328|7638|Valle Grande Peak|11/13/1980|
904419|Canada del Rancho|Stream|NM|35|Rio Arriba|039|362742N|1060731W|36.4616847|-106.1252998|362637N|1060638W|36.4436111|-106.1105556|2312|7585|La Madera|11/13/1980|08/12/2011
904420|Canada de Rocio|Stream|NM|35|San Miguel|047|354836N|1051810W|35.8100396|-105.3027893|355001N|1052246W|35.8336476|-105.3794575|2171|7123|Sapello|11/13/1980|
904421|Canada de Sarten|Stream|NM|35|Rio Arriba|039|360355N|1055645W|36.0653016|-105.9458542|360252N|1055558W|36.0477778|-105.9327778|2083|6834|Chimayo|11/13/1980|
904422|Canada la Lemitas|Stream|NM|35|Rio Arriba|039|360917N|1060940W|36.1547432|-106.1611358|361017N|1060739W|36.1713889|-106.1275|1760|5774|Medanales|11/13/1980|
904423|Canada la Lemitas|Stream|NM|35|Rio Arriba|039|361408N|1060303W|36.2355773|-106.0508558|361408N|1055616W|36.2355783|-105.9377978|1843|6047|Lyden|11/13/1980|
904424|Canada los Frijoles|Stream|NM|35|Rio Arriba|039|361205N|1060323W|36.2014107|-106.0564115|361156N|1060129W|36.1988889|-106.0247222|1818|5964|Lyden|11/13/1980|01/27/2006
904425|Canada Abeque|Stream|NM|35|Rio Arriba|039|361145N|1060330W|36.1958551|-106.0583561|361252N|1060522W|36.2144444|-106.0894444|1815|5955|Lyden|11/13/1980|
904426|Canada Agua|Stream|NM|35|Rio Arriba|039|361142N|1055408W|36.1950232|-105.9022416|361059N|1055517W|36.1830556|-105.9213889|1839|6033|Velarde|11/13/1980|
904427|Canada Alamosa|Stream|NM|35|Rio Arriba|039|363233N|1060905W|36.5425171|-106.1514112|363232N|1061335W|36.5422222|-106.2263889|2339|7674|Canon Plaza|11/13/1980|
904428|Canada Ancha|Stream|NM|35|Rio Arriba|039|360729N|1054716W|36.1247468|-105.7877949|360512N|1054725W|36.0866667|-105.7902778|2227|7306|Truchas|11/13/1980|
904429|Canada Ancha|Stream|NM|35|Rio Arriba|039|361001N|1061030W|36.1669651|-106.1750248|361144N|1060733W|36.1955556|-106.1258333|1774|5820|Medanales|11/13/1980|
904430|Canada Ancha|Arroyo|NM|35|Valencia|061|344220N|1063515W|34.7056136|-106.5875226|344229N|1062859W|34.7081137|-106.483076|1576|5171|Tome NE|11/13/1980|
904431|Canada Ancha|Stream|NM|35|Rio Arriba|039|360837N|1055957W|36.143634|-105.9991884|360322N|1055008W|36.056136|-105.8355741|1750|5741|Velarde|11/13/1980|
904432|Canada Ancha|Stream|NM|35|San Miguel|047|351425N|1050953W|35.2403271|-105.1647254|351711N|1050802W|35.2864375|-105.1338913|1617|5305|Anton Chico|11/13/1980|
904433|Canada Ancha|Stream|NM|35|Rio Arriba|039|361251N|1060257W|36.2141885|-106.0491891|361931N|1060801W|36.3252972|-106.1336345|1829|6001|Lyden|11/13/1980|
904434|Canada Ancha|Valley|NM|35|Sandoval|043|352719N|1070717W|35.4553104|-107.1214318|352650N|1071330W|35.4472547|-107.2250454|1752|5748|Casa Salazar|11/13/1980|
